liga,temporada,time_casa,time_fora,gols_casa,gols_fora,data_jogo,odd_pinn_casa,odd_pinn_empate,odd_pinn_fora,odd_b365_casa,odd_b365_empate,odd_b365_fora
Ligue 1,2526,Rennes,Marseille,1,0,2025-08-15,3.64,3.58,2.11,3.5,3.6,2.05
Ligue 1,2526,Lens,Lyon,0,1,2025-08-16,2.35,3.63,3.02,2.3,3.6,2.9
Ligue 1,2526,Monaco,Le Havre,3,1,2025-08-16,1.34,5.61,8.59,1.33,5.25,8.0
Ligue 1,2526,Nice,Toulouse,0,1,2025-08-16,2.12,3.45,3.69,2.1,3.3,3.6
Ligue 1,2526,Brest,Lille,3,3,2025-08-17,3.36,3.48,2.23,3.3,3.4,2.2
Ligue 1,2526,Angers,Paris FC,1,0,2025-08-17,2.75,3.17,2.83,2.63,3.2,2.8
Ligue 1,2526,Auxerre,Lorient,1,0,2025-08-17,2.4,3.46,3.06,2.38,3.3,3.0
Ligue 1,2526,Metz,Strasbourg,0,1,2025-08-17,3.23,3.48,2.29,3.2,3.4,2.25
Ligue 1,2526,Nantes,Paris SG,0,1,2025-08-17,8.26,5.72,1.35,7.5,5.5,1.36
Ligue 1,2526,Paris SG,Angers,1,0,2025-08-22,1.09,12.5,27.0,1.08,12.0,21.0
Ligue 1,2526,Marseille,Paris FC,5,2,2025-08-23,1.39,5.14,8.08,1.38,5.0,7.5
Ligue 1,2526,Nice,Auxerre,3,1,2025-08-23,1.68,4.12,4.98,1.62,4.2,5.0
Ligue 1,2526,Lyon,Metz,3,0,2025-08-23,1.4,5.19,7.54,1.4,5.0,7.0
Ligue 1,2526,Lorient,Rennes,4,0,2025-08-24,2.84,3.3,2.64,2.8,3.3,2.55
Ligue 1,2526,Le Havre,Lens,1,2,2025-08-24,3.99,3.66,1.95,3.75,3.6,1.95
Ligue 1,2526,Strasbourg,Nantes,1,0,2025-08-24,1.78,3.65,4.98,1.75,3.5,5.0
Ligue 1,2526,Toulouse,Brest,2,0,2025-08-24,2.11,3.57,3.57,2.1,3.6,3.3
Ligue 1,2526,Lille,Monaco,1,0,2025-08-24,3.11,3.64,2.29,3.1,3.6,2.2
Ligue 1,2526,Lens,Brest,3,1,2025-08-29,1.88,3.83,4.24,1.85,3.75,4.0
Ligue 1,2526,Lorient,Lille,1,7,2025-08-30,3.44,3.62,2.14,3.4,3.5,2.1
Ligue 1,2526,Nantes,Auxerre,1,0,2025-08-30,2.33,3.27,3.34,2.2,3.4,3.25
Ligue 1,2526,Toulouse,Paris SG,3,6,2025-08-30,8.47,5.48,1.36,8.5,5.25,1.33
Ligue 1,2526,Angers,Rennes,1,1,2025-08-31,3.47,3.53,2.16,3.4,3.5,2.1
Ligue 1,2526,Le Havre,Nice,3,1,2025-08-31,3.64,3.59,2.08,3.6,3.5,2.05
Ligue 1,2526,Monaco,Strasbourg,3,2,2025-08-31,1.56,4.56,5.64,1.55,4.33,5.5
Ligue 1,2526,Paris FC,Metz,3,2,2025-08-31,1.84,3.76,4.43,1.8,3.7,4.33
Ligue 1,2526,Lyon,Marseille,1,0,2025-08-31,2.74,3.75,2.49,2.63,3.6,2.5
Ligue 1,2526,Marseille,Lorient,4,0,2025-09-12,1.39,5.55,7.44,1.38,5.0,7.5
Ligue 1,2526,Nice,Nantes,1,0,2025-09-13,1.71,3.89,5.1,1.67,3.7,5.25
Ligue 1,2526,Auxerre,Monaco,1,2,2025-09-13,5.17,4.55,1.6,5.0,4.33,1.6
Ligue 1,2526,Lille,Toulouse,2,1,2025-09-14,1.78,4.01,4.43,1.75,3.8,4.5
Ligue 1,2526,Brest,Paris FC,1,2,2025-09-14,2.31,3.66,3.05,2.25,3.5,3.1
Ligue 1,2526,Metz,Angers,1,1,2025-09-14,2.35,3.32,3.26,2.25,3.4,3.2
Ligue 1,2526,Paris SG,Lens,2,0,2025-09-14,1.33,5.97,8.28,1.33,5.75,7.5
Ligue 1,2526,Strasbourg,Le Havre,1,0,2025-09-14,1.64,4.27,5.15,1.62,4.0,5.5
Ligue 1,2526,Rennes,Lyon,3,1,2025-09-14,2.71,3.61,2.58,2.63,3.6,2.55
Ligue 1,2526,Lyon,Angers,1,0,2025-09-19,1.47,4.63,6.93,1.44,4.33,7.0
Ligue 1,2526,Nantes,Rennes,2,2,2025-09-20,3.69,3.47,2.11,3.5,3.4,2.1
Ligue 1,2526,Brest,Nice,4,1,2025-09-20,2.75,3.59,2.56,2.63,3.5,2.6
Ligue 1,2526,Lens,Lille,3,0,2025-09-20,2.4,3.49,3.02,2.38,3.5,2.9
Ligue 1,2526,Paris FC,Strasbourg,2,3,2025-09-21,2.45,3.44,3.0,2.35,3.5,2.9
Ligue 1,2526,Auxerre,Toulouse,1,0,2025-09-21,2.79,3.27,2.72,2.75,3.2,2.7
Ligue 1,2526,Le Havre,Lorient,1,1,2025-09-21,2.31,3.49,3.18,2.25,3.5,3.1
Ligue 1,2526,Monaco,Metz,5,2,2025-09-21,1.27,6.55,9.38,1.27,6.0,10.0
Ligue 1,2526,Marseille,Paris SG,1,0,2025-09-22,3.73,3.98,1.94,3.7,4.1,1.9
Ligue 1,2526,Strasbourg,Marseille,1,2,2025-09-26,3.76,3.78,2.01,3.6,3.6,2.0
Ligue 1,2526,Lorient,Monaco,3,1,2025-09-27,5.28,4.36,1.62,5.5,4.1,1.6
Ligue 1,2526,Toulouse,Nantes,2,2,2025-09-27,1.7,3.8,5.4,1.7,3.5,5.5
Ligue 1,2526,Paris SG,Auxerre,2,0,2025-09-27,1.16,9.23,14.84,1.14,8.0,15.0
Ligue 1,2526,Nice,Paris FC,1,1,2025-09-28,1.88,3.99,3.96,1.85,3.75,4.0
Ligue 1,2526,Angers,Brest,0,2,2025-09-28,3.08,3.43,2.4,3.1,3.25,2.38
Ligue 1,2526,Lille,Lyon,0,1,2025-09-28,2.26,3.49,3.28,2.25,3.4,3.2
Ligue 1,2526,Metz,Le Havre,0,0,2025-09-28,2.67,3.46,2.7,2.7,3.2,2.7
Ligue 1,2526,Rennes,Lens,0,0,2025-09-28,2.54,3.59,2.77,2.5,3.4,2.75
Ligue 1,2526,Paris FC,Lorient,2,0,2025-10-03,1.78,3.98,4.52,1.73,3.9,4.5
Ligue 1,2526,Metz,Marseille,0,3,2025-10-04,6.24,4.71,1.5,6.25,5.0,1.45
Ligue 1,2526,Brest,Nantes,0,0,2025-10-04,1.88,3.76,4.23,1.85,3.75,4.0
Ligue 1,2526,Auxerre,Lens,1,2,2025-10-04,3.79,3.87,1.95,3.6,3.8,1.95
Ligue 1,2526,Lyon,Toulouse,1,2,2025-10-05,1.95,3.81,3.83,1.9,3.7,4.0
Ligue 1,2526,Le Havre,Rennes,2,2,2025-10-05,3.08,3.33,2.45,3.1,3.3,2.35
Ligue 1,2526,Monaco,Nice,2,2,2025-10-05,1.96,3.77,3.86,1.9,3.7,3.9
Ligue 1,2526,Strasbourg,Angers,5,0,2025-10-05,1.71,3.9,5.12,1.67,3.9,5.25
Ligue 1,2526,Lille,Paris SG,1,1,2025-10-05,4.47,3.99,1.78,4.5,3.9,1.75
Ligue 1,2526,Paris SG,Strasbourg,3,3,2025-10-17,1.31,5.83,9.84,1.3,6.0,8.5
Ligue 1,2526,Nice,Lyon,3,2,2025-10-18,2.54,3.54,2.81,2.45,3.4,2.8
Ligue 1,2526,Angers,Monaco,1,1,2025-10-18,5.31,4.23,1.63,5.5,4.0,1.62
Ligue 1,2526,Marseille,Le Havre,6,2,2025-10-18,1.33,5.87,8.66,1.33,5.0,9.0
Ligue 1,2526,Lens,Paris FC,2,1,2025-10-19,1.89,3.9,4.0,1.85,3.75,4.0
Ligue 1,2526,Lorient,Brest,3,3,2025-10-19,2.55,3.55,2.79,2.38,3.25,3.0
Ligue 1,2526,Rennes,Auxerre,2,2,2025-10-19,1.8,3.84,4.53,1.75,3.7,4.75
Ligue 1,2526,Toulouse,Metz,4,0,2025-10-19,1.61,4.12,5.71,1.6,3.8,6.0
Ligue 1,2526,Nantes,Lille,0,2,2025-10-19,4.54,3.86,1.79,4.5,3.6,1.8
Ligue 1,2526,Paris FC,Nantes,1,2,2025-10-24,1.67,4.1,5.31,1.65,4.1,5.0
Ligue 1,2526,Brest,Paris SG,0,3,2025-10-25,8.88,5.61,1.34,7.5,5.5,1.33
Ligue 1,2526,Monaco,Toulouse,1,0,2025-10-25,1.87,4.03,3.96,1.83,3.9,4.0
Ligue 1,2526,Lens,Marseille,2,1,2025-10-25,2.82,3.61,2.49,2.7,3.6,2.45
Ligue 1,2526,Lille,Metz,6,1,2025-10-26,1.33,5.55,9.34,1.3,5.5,9.5
Ligue 1,2526,Angers,Lorient,2,0,2025-10-26,2.63,3.19,2.94,2.55,3.2,2.88
Ligue 1,2526,Auxerre,Le Havre,0,1,2025-10-26,2.16,3.45,3.56,2.1,3.4,3.5
Ligue 1,2526,Rennes,Nice,1,2,2025-10-26,2.2,3.64,3.28,2.2,3.5,3.2
Ligue 1,2526,Lyon,Strasbourg,2,1,2025-10-26,2.11,3.75,3.41,2.1,3.75,3.3
Ligue 1,2526,Le Havre,Brest,1,0,2025-10-29,2.56,3.38,2.89,2.55,3.2,2.9
Ligue 1,2526,Lorient,Paris SG,1,1,2025-10-29,10.79,6.39,1.26,9.5,6.5,1.25
Ligue 1,2526,Metz,Lens,2,0,2025-10-29,6.36,4.56,1.51,6.25,4.5,1.5
Ligue 1,2526,Nice,Lille,2,0,2025-10-29,3.07,3.52,2.36,3.0,3.5,2.3
Ligue 1,2526,Marseille,Angers,2,2,2025-10-29,1.22,6.86,12.64,1.22,6.5,12.0
Ligue 1,2526,Nantes,Monaco,3,5,2025-10-29,4.97,4.0,1.71,4.75,4.0,1.7
Ligue 1,2526,Paris FC,Lyon,3,3,2025-10-29,2.7,3.61,2.59,2.7,3.5,2.5
Ligue 1,2526,Strasbourg,Auxerre,3,0,2025-10-29,1.76,4.03,4.56,1.75,3.8,4.5
Ligue 1,2526,Toulouse,Rennes,2,2,2025-10-29,2.21,3.53,3.36,2.15,3.5,3.3
Ligue 1,2526,Paris SG,Nice,1,0,2025-11-01,1.26,6.72,10.13,1.25,6.0,10.0
Ligue 1,2526,Monaco,Paris FC,0,1,2025-11-01,1.68,4.49,4.56,1.67,4.33,4.33
Ligue 1,2526,Auxerre,Marseille,0,1,2025-11-01,4.95,4.15,1.68,4.75,4.0,1.67
Ligue 1,2526,Rennes,Strasbourg,4,1,2025-11-02,2.35,3.68,2.98,2.25,3.6,3.0
Ligue 1,2526,Lens,Lorient,3,0,2025-11-02,1.48,4.55,7.01,1.48,4.33,6.5
Ligue 1,2526,Lille,Angers,1,0,2025-11-02,1.28,5.98,11.29,1.27,6.0,10.0
Ligue 1,2526,Nantes,Metz,0,2,2025-11-02,1.92,3.73,4.07,1.91,3.6,4.0
Ligue 1,2526,Toulouse,Le Havre,0,0,2025-11-02,1.78,3.74,4.82,1.75,3.7,4.75
Ligue 1,2526,Brest,Lyon,0,0,2025-11-02,3.16,3.54,2.3,3.1,3.5,2.25
Ligue 1,2526,Paris FC,Rennes,0,1,2025-11-07,2.27,3.61,3.22,2.2,3.5,3.2
Ligue 1,2526,Marseille,Brest,3,0,2025-11-08,1.47,4.67,6.94,1.44,4.75,6.5
Ligue 1,2526,Le Havre,Nantes,1,1,2025-11-08,1.91,3.43,4.56,1.9,3.3,4.5
Ligue 1,2526,Monaco,Lens,1,4,2025-11-08,2.1,3.85,3.35,2.05,3.9,3.2
Ligue 1,2526,Lorient,Toulouse,1,1,2025-11-09,2.99,3.32,2.51,3.0,3.3,2.4
Ligue 1,2526,Angers,Auxerre,2,0,2025-11-09,2.62,3.18,2.97,2.55,3.1,2.9
Ligue 1,2526,Metz,Nice,2,1,2025-11-09,3.35,3.73,2.14,3.3,3.6,2.1
Ligue 1,2526,Strasbourg,Lille,2,0,2025-11-09,2.68,3.71,2.56,2.63,3.5,2.55
Ligue 1,2526,Lyon,Paris SG,2,3,2025-11-09,4.22,4.0,1.82,4.2,3.9,1.8
Ligue 1,2526,Nice,Marseille,1,5,2025-11-21,3.92,3.7,1.96,3.8,3.75,1.91
Ligue 1,2526,Lens,Strasbourg,1,0,2025-11-22,2.1,3.71,3.48,2.05,3.75,3.4
Ligue 1,2526,Rennes,Monaco,4,1,2025-11-22,2.71,3.8,2.49,2.63,3.7,2.45
Ligue 1,2526,Paris SG,Le Havre,3,0,2025-11-22,1.16,9.07,14.62,1.18,7.5,12.0
Ligue 1,2526,Auxerre,Lyon,0,0,2025-11-23,3.86,3.53,2.03,3.9,3.4,2.0
Ligue 1,2526,Brest,Metz,3,2,2025-11-23,1.85,3.81,4.3,1.8,3.75,4.33
Ligue 1,2526,Nantes,Lorient,1,1,2025-11-23,2.65,3.49,2.71,2.63,3.3,2.7
Ligue 1,2526,Toulouse,Angers,0,1,2025-11-23,1.62,3.97,5.96,1.6,3.8,6.0
Ligue 1,2526,Lille,Paris FC,4,2,2025-11-23,1.62,4.34,5.28,1.62,4.0,5.5
Ligue 1,2526,Metz,Rennes,0,1,2025-11-28,4.0,3.97,1.89,4.0,3.6,1.85
Ligue 1,2526,Monaco,Paris SG,1,0,2025-11-29,5.1,4.59,1.6,5.0,4.33,1.6
Ligue 1,2526,Paris FC,Auxerre,1,1,2025-11-29,1.82,3.81,4.49,1.8,3.6,4.5
Ligue 1,2526,Marseille,Toulouse,2,2,2025-11-29,1.62,4.17,5.51,1.6,3.9,6.0
Ligue 1,2526,Strasbourg,Brest,1,2,2025-11-30,1.83,3.83,4.4,1.8,3.75,4.33
Ligue 1,2526,Angers,Lens,1,2,2025-11-30,4.78,3.88,1.76,4.75,3.8,1.75
Ligue 1,2526,Le Havre,Lille,0,1,2025-11-30,4.31,3.7,1.88,4.33,3.6,1.85
Ligue 1,2526,Lorient,Nice,3,1,2025-11-30,2.45,3.38,3.03,2.45,3.3,2.88
Ligue 1,2526,Lyon,Nantes,3,0,2025-11-30,1.45,4.83,7.17,1.42,4.75,7.0
Ligue 1,2526,Brest,Monaco,1,0,2025-12-05,3.45,3.94,2.06,3.3,3.9,2.0
Ligue 1,2526,Lille,Marseille,1,0,2025-12-05,2.39,3.58,3.03,2.3,3.6,2.9
Ligue 1,2526,Nantes,Lens,1,2,2025-12-06,4.98,4.09,1.69,4.75,3.9,1.7
Ligue 1,2526,Toulouse,Strasbourg,1,0,2025-12-06,2.58,3.42,2.83,2.5,3.4,2.8
Ligue 1,2526,Paris SG,Rennes,5,0,2025-12-06,1.31,6.21,8.64,1.3,6.5,7.5
Ligue 1,2526,Nice,Angers,0,1,2025-12-07,2.02,3.62,3.79,1.95,3.6,3.8
Ligue 1,2526,Auxerre,Metz,3,1,2025-12-07,2.01,3.52,3.96,2.0,3.5,3.75
Ligue 1,2526,Le Havre,Paris FC,0,0,2025-12-07,2.72,3.3,2.76,2.7,3.2,2.7
Ligue 1,2526,Lorient,Lyon,1,0,2025-12-07,3.32,3.58,2.21,3.2,3.5,2.2
Ligue 1,2526,Angers,Nantes,4,1,2025-12-12,2.19,3.27,3.77,2.15,3.2,3.6
Ligue 1,2526,Rennes,Brest,3,1,2025-12-13,1.84,3.93,4.2,1.83,3.75,4.1
Ligue 1,2526,Metz,Paris SG,2,3,2025-12-13,10.74,6.84,1.24,10.0,6.5,1.25
Ligue 1,2526,Paris FC,Toulouse,0,3,2025-12-13,2.48,3.31,3.05,2.4,3.4,2.88
Ligue 1,2526,Lyon,Le Havre,1,0,2025-12-14,1.6,4.12,5.85,1.6,4.1,5.25
Ligue 1,2526,Auxerre,Lille,3,4,2025-12-14,4.46,3.76,1.83,4.5,3.6,1.8
Ligue 1,2526,Lens,Nice,2,0,2025-12-14,1.49,4.72,6.49,1.48,4.5,6.25
Ligue 1,2526,Strasbourg,Lorient,0,0,2025-12-14,1.75,3.96,4.72,1.73,3.7,4.75
Ligue 1,2526,Marseille,Monaco,1,0,2025-12-14,1.93,3.93,3.81,1.9,3.75,3.75
Ligue 1,2526,Toulouse,Lens,0,3,2026-01-02,2.64,3.35,2.86,2.45,3.1,2.55
Ligue 1,2526,Monaco,Lyon,1,3,2026-01-03,2.09,3.89,3.36,2.0,3.75,3.5
Ligue 1,2526,Nice,Strasbourg,1,1,2026-01-03,2.72,3.53,2.61,2.7,3.4,2.6
Ligue 1,2526,Lille,Rennes,0,2,2026-01-03,1.89,3.67,4.27,1.9,3.7,4.0
Ligue 1,2526,Marseille,Nantes,0,2,2026-01-04,1.23,6.8,11.54,1.22,6.5,12.0
Ligue 1,2526,Brest,Auxerre,2,0,2026-01-04,1.96,3.33,4.47,1.91,3.4,4.2
Ligue 1,2526,Le Havre,Angers,2,1,2026-01-04,2.08,3.38,3.87,2.05,3.3,3.7
Ligue 1,2526,Lorient,Metz,1,1,2026-01-04,1.81,3.83,4.51,1.8,3.5,4.75
Ligue 1,2526,Paris SG,Paris FC,2,1,2026-01-04,1.21,6.53,16.75,1.17,7.5,17.0
Ligue 1,2526,Monaco,Lorient,1,3,2026-01-16,,,,1.65,4.2,4.75
Ligue 1,2526,Paris SG,Lille,3,0,2026-01-16,,,,1.3,5.75,8.0
Ligue 1,2526,Lens,Auxerre,1,0,2026-01-17,,,,1.42,4.5,7.5
Ligue 1,2526,Toulouse,Nice,5,1,2026-01-17,,,,1.95,3.5,3.9
Ligue 1,2526,Angers,Marseille,2,5,2026-01-17,,,,5.75,4.0,1.6
Ligue 1,2526,Strasbourg,Metz,2,1,2026-01-18,,,,1.53,4.33,5.75
Ligue 1,2526,Nantes,Paris FC,1,2,2026-01-18,,,,3.0,3.2,2.45
Ligue 1,2526,Rennes,Le Havre,1,1,2026-01-18,,,,1.67,3.9,5.25
Ligue 1,2526,Lyon,Brest,2,1,2026-01-18,,,,1.67,4.0,5.0
Ligue 1,2526,Auxerre,Paris SG,0,1,2026-01-23,,,,11.0,5.5,1.29
Ligue 1,2526,Rennes,Lorient,0,2,2026-01-24,,,,1.85,3.7,4.1
Ligue 1,2526,Le Havre,Monaco,0,0,2026-01-24,,,,3.4,3.8,2.0
Ligue 1,2526,Marseille,Lens,3,1,2026-01-24,,,,2.0,3.75,3.4
Ligue 1,2526,Nantes,Nice,1,4,2026-01-25,,,,2.9,3.5,2.38
Ligue 1,2526,Brest,Toulouse,0,2,2026-01-25,,,,2.8,3.1,2.7
Ligue 1,2526,Metz,Lyon,2,5,2026-01-25,,,,4.75,3.9,1.7
Ligue 1,2526,Paris FC,Angers,0,0,2026-01-25,,,,1.83,3.4,4.75
Ligue 1,2526,Lille,Strasbourg,1,4,2026-01-25,,,,2.0,3.5,3.6
Ligue 1,2526,Lens,Le Havre,1,0,2026-01-30,,,,1.4,5.0,7.0
Ligue 1,2526,Paris FC,Marseille,2,2,2026-01-31,,,,3.8,3.8,1.9
Ligue 1,2526,Lorient,Nantes,2,1,2026-01-31,,,,1.83,3.5,4.5
Ligue 1,2526,Monaco,Rennes,4,0,2026-01-31,,,,2.0,3.9,3.3
Ligue 1,2526,Lyon,Lille,1,0,2026-02-01,,,,1.91,3.7,3.8
Ligue 1,2526,Angers,Metz,1,0,2026-02-01,,,,2.1,3.3,3.6
Ligue 1,2526,Nice,Brest,2,2,2026-02-01,,,,2.1,3.3,3.7
Ligue 1,2526,Toulouse,Auxerre,0,0,2026-02-01,,,,1.75,3.6,5.0
Ligue 1,2526,Strasbourg,Paris SG,1,2,2026-02-01,,,,4.75,4.5,1.62
Ligue 1,2526,Metz,Lille,0,0,2026-02-06,,,,6.0,4.2,1.55
Ligue 1,2526,Lens,Rennes,3,1,2026-02-07,,,,1.75,3.8,4.5
Ligue 1,2526,Brest,Lorient,2,0,2026-02-07,,,,2.2,3.1,3.5
Ligue 1,2526,Nantes,Lyon,0,1,2026-02-07,,,,4.75,3.75,1.73
Ligue 1,2526,Nice,Monaco,0,0,2026-02-08,,,,3.1,3.75,2.15
Ligue 1,2526,Angers,Toulouse,1,0,2026-02-08,,,,3.4,3.2,2.25
Ligue 1,2526,Auxerre,Paris FC,0,0,2026-02-08,,,,2.45,3.3,2.9
Ligue 1,2526,Le Havre,Strasbourg,2,1,2026-02-08,,,,4.0,3.5,1.91
Ligue 1,2526,Paris SG,Marseille,5,0,2026-02-08,,,,1.42,5.25,6.0
Ligue 1,2526,Rennes,Paris SG,3,1,2026-02-13,,,,7.0,5.0,1.4
Ligue 1,2526,Monaco,Nantes,3,1,2026-02-13,,,,1.48,4.33,7.0
Ligue 1,2526,Marseille,Strasbourg,2,2,2026-02-14,,,,1.67,4.2,4.5
Ligue 1,2526,Lille,Brest,1,1,2026-02-14,,,,1.73,3.6,5.0
Ligue 1,2526,Paris FC,Lens,0,5,2026-02-14,,,,4.0,3.6,1.85
Ligue 1,2526,Le Havre,Toulouse,2,1,2026-02-15,,,,3.4,3.1,2.3
Ligue 1,2526,Lorient,Angers,2,0,2026-02-15,,,,1.91,3.2,4.5
Ligue 1,2526,Metz,Auxerre,1,3,2026-02-15,,,,2.88,3.0,2.63
Ligue 1,2526,Lyon,Nice,2,0,2026-02-15,,,,1.62,3.9,5.5
Ligue 1,2526,Brest,Marseille,2,0,2026-02-20,,,,3.8,3.6,1.9
Ligue 1,2526,Lens,Monaco,2,3,2026-02-21,,,,1.65,4.33,4.75
Ligue 1,2526,Toulouse,Paris FC,1,1,2026-02-21,,,,1.85,3.4,4.5
Ligue 1,2526,Paris SG,Metz,3,0,2026-02-21,,,,1.14,9.0,13.0
Ligue 1,2526,Auxerre,Rennes,0,3,2026-02-22,,,,2.9,3.4,2.35
Ligue 1,2526,Angers,Lille,0,1,2026-02-22,,,,4.2,3.5,1.85
Ligue 1,2526,Nantes,Le Havre,2,0,2026-02-22,,,,2.4,3.3,2.9
Ligue 1,2526,Nice,Lorient,3,3,2026-02-22,,,,2.05,3.6,3.4
Ligue 1,2526,Strasbourg,Lyon,3,1,2026-02-22,,,,2.3,3.6,2.9
Ligue 1,2526,Strasbourg,Lens,1,1,2026-02-27,,,,2.2,3.6,3.1
Ligue 1,2526,Rennes,Toulouse,1,0,2026-02-28,,,,1.95,3.5,3.7
Ligue 1,2526,Monaco,Angers,2,0,2026-02-28,,,,1.5,4.33,6.5
Ligue 1,2526,Le Havre,Paris SG,0,1,2026-02-28,,,,8.0,6.25,1.3
Ligue 1,2526,Paris FC,Nice,1,0,2026-03-01,,,,2.4,3.4,2.9
Ligue 1,2526,Lille,Nantes,1,0,2026-03-01,,,,1.45,4.5,7.0
Ligue 1,2526,Lorient,Auxerre,2,2,2026-03-01,,,,2.05,3.25,3.9
Ligue 1,2526,Metz,Brest,0,1,2026-03-01,,,,3.6,3.4,2.1
Ligue 1,2526,Marseille,Lyon,3,2,2026-03-01,,,,1.95,3.6,3.8
Ligue 1,2526,Paris SG,Monaco,1,3,2026-03-06,,,,1.36,5.5,7.0
Ligue 1,2526,Nantes,Angers,0,1,2026-03-07,,,,2.2,3.0,3.6
Ligue 1,2526,Auxerre,Strasbourg,0,0,2026-03-07,,,,3.6,3.3,2.1
